summoner_id,Unnamed: 0,summoner name,summoner_id,summonerid
34895766,,KiingBoo,34895766.0,
30645955,,Thats Warded,30645955.0,
47606880,,sulsahhh,47606880.0,
50824827,,mackT12,50824827.0,
19605949,,The Silver One,19605949.0,
31412153,,MrPersona,31412153.0,
19209497,,dawi,19209497.0,
40853723,,Rinami,40853723.0,
20036156,,FxKingzPanda,20036156.0,
28323512,,I am Pacman,28323512.0,
50638823,,iRepz,50638823.0,
58513370,,La Nami,58513370.0,
50425804,,VN SuperYoYo,50425804.0,
19295177,,Akaipo,19295177.0,
35327804,,A1DimeTRo,35327804.0,
61553514,,explitxsil3nce2,61553514.0,
20774700,,The SickMotion,20774700.0,
24596370,,OrinX,24596370.0,
5908,,Dyrus,5908.0,
432695,,Yanni Tsunami,432695.0,
21911054,,Wizzy,21911054.0,
70011915,,moon o,70011915.0,
44989364,,Haillo Kitty,44989364.0,
19061980,,Liquid Lourlo,19061980.0,
23841530,,TheFarooj,23841530.0,
19959767,,Rhux,19959767.0,
22943936,,Brian Griffin,22943936.0,
77211704,,Winter is back,77211704.0,
7250,,ApoIlo Price,7250.0,
2648,,Pobelter,2648.0,
37876161,,S Diana 2,37876161.0,
19877155,,cesuna,19877155.0,
29360758,,cute pupper irl,29360758.0,
61542283,,Huhi,61542283.0,
21328540,,McCashDollar,21328540.0,
78829568,,And JuIy,78829568.0,
20072993,,Rokí,20072993.0,
50539313,,Entranced,50539313.0,
25913399,,Shrew,25913399.0,
23521729,,HoNSol0,23521729.0,
23820400,,Epicshots,23820400.0,
19577112,,Fox BIG,19577112.0,
40519573,,oopa,40519573.0,
37101853,,Distasteful,37101853.0,
28450815,,Mykie,28450815.0,
28329959,,Zib Nibbler,28329959.0,
77472638,,Natalia Dyer,77472638.0,
30871884,,Pht,30871884.0,
77179274,,Deft Pawn,77179274.0,
20971952,,i KeNNy u,20971952.0,
28949426,,Årcee,28949426.0,
73759385,,Stixxay,73759385.0,
19698094,,fallenbandit,19698094.0,
156090,,Yassuo,156090.0,
40661961,,The Tank Man,40661961.0,
138243,,One Called Saint,138243.0,
34124339,,Gahlin,34124339.0,
46239231,,Hyorimaru,46239231.0,
64834040,,konkwon,64834040.0,
37928970,,Lesu,37928970.0,
36447212,,AsianSGpøtatø,36447212.0,
21903966,,Pekin Woof,21903966.0,
20283358,,Rycah,20283358.0,
20759436,,Captain Kyru,20759436.0,
21701890,,Danman96,21701890.0,
30563611,,Carrots2,30563611.0,
262255,,Aerodactyl,262255.0,
30405301,,Espir III,30405301.0,
38674894,,Br0main,38674894.0,
21705406,,Link,21705406.0,
59950029,,Green Awakening,59950029.0,
26067630,,High IQ and APM,26067630.0,
37444943,,zz cicero,37444943.0,
24671130,,Allorim,24671130.0,
21193032,,dog2,21193032.0,
36653735,,stuntopia,36653735.0,
23963857,,Stunningstyles,23963857.0,
20047271,,Descraton,20047271.0,
71715,,TSM MeNoHaxor,71715.0,
23714027,,xSojin,23714027.0,
27110862,,J D,27110862.0,
27806734,,never meme,27806734.0,
20918669,,Daarr,20918669.0,
75840457,,Nash,75840457.0,
21078842,,YlKES,21078842.0,
67521234,,Part The Sea,67521234.0,
32274061,,SaintKilianv2,32274061.0,
