,A,CHAMPID,CHAMPID_Role,D,DATE,Index,K,KDA,PATCH,PLAYRATE,RANK,ROLE,Unnamed: 0,WINRATE,indexval,unique
0,5.941909912885513,85,85TOP,5.477189215969613,2017-07-09,,5.246728045910573,2.04277002630726,7.13,0.024687813638825336,9.259628902151501,TOP,,0.498451756740019,TOP852017-07-09,
0,5.84030228792094,24,24JUNGLE,5.584976954698335,2017-07-09,,6.362288751401404,2.1848955041894977,7.13,0.024547153951687814,10.791612614188294,JUNGLE,,0.51791720300627,JUNGLE242017-07-09,
0,11.348077563249001,113,113JUNGLE,4.527921105193076,2017-07-09,,4.586301597869507,3.519137986490833,7.13,0.024495171023832644,12.041166505855681,JUNGLE,,0.5326231691078562,JUNGLE1132017-07-09,
0,5.439733962668956,17,17TOP,5.9791031967388975,2017-07-09,,5.582493027247372,1.8434582289745447,7.13,0.02375415948362266,10.696805896949188,TOP,,0.518214975327183,TOP172017-07-09,
0,10.776801177693107,223,223DUO_SUPPORT,4.8201853134741945,2017-07-09,,1.9311569102874957,2.6364044661223245,7.13,0.02354113140672598,5.218529721097794,DUO_SUPPORT,,0.4831139591271216,DUO_SUPPORT2232017-07-09,
0,10.44576503335837,32,32JUNGLE,5.1209296160473645,2017-07-09,,4.162947907922061,2.852746285655122,7.13,0.023069207963648645,10.79061192694309,JUNGLE,,0.5084610966288163,JUNGLE322017-07-09,
0,8.373294257715909,120,120JUNGLE,5.203681655829288,2017-07-09,,6.388222364685411,2.836744750875588,7.13,0.022258885852965097,11.653113591865273,JUNGLE,,0.49075006868760873,JUNGLE1202017-07-09,
0,5.774740897000825,8,8TOP,5.456067137485096,2017-07-09,,5.348115197652023,2.038621559151082,7.13,0.022226269113918718,11.614756565290133,TOP,,0.5019719343300009,TOP82017-07-09,
0,8.221405384762269,15,15DUO_CARRY,5.026064540767615,2017-07-09,,5.401947679969449,2.7105408126436563,7.13,0.02135173279823761,9.823361367274355,DUO_CARRY,,0.4909299217109032,DUO_CARRY152017-07-09,
0,7.181006887185954,1,1MIDDLE,5.858424677466291,2017-07-09,,6.880347269376273,2.400193726249907,7.13,0.021015372676821797,9.138412128761676,MIDDLE,,0.5296343001261034,MIDDLE12017-07-09,
