,Unnamed: 0,player10champid,player10lane,player10role,player10summonerid,player10summonername,player1champid,player1lane,player1role,player1summonerid,player1summonername,player2champid,player2lane,player2role,player2summonerid,player2summonername,player3champid,player3lane,player3role,player3summonerid,player3summonername,player4champid,player4lane,player4role,player4summonerid,player4summonername,player5champid,player5lane,player5role,player5summonerid,player5summonername,player6champid,player6lane,player6role,player6summonerid,player6summonername,player7champid,player7lane,player7role,player7summonerid,player7summonername,player8champid,player8lane,player8role,player8summonerid,player8summonername,player9champid,player9lane,player9role,player9summonerid,player9summonername
2077828181,,27.0,TOP,SOLO,19470447.0,Minishcap1,76.0,JUNGLE,NONE,19925775.0,1993 nice boy,236.0,BOTTOM,DUO_CARRY,40999945.0,Qq1035716423me,25.0,BOTTOM,DUO_SUPPORT,24444602.0,King Kenneth,54.0,TOP,SOLO,24250693.0,Quest and K0,157.0,MIDDLE,SOLO,32311909.0,Ragexx,18.0,BOTTOM,DUO_CARRY,21498922.0,TR Linsanity,412.0,BOTTOM,DUO_SUPPORT,37388071.0,eMthy,90.0,MIDDLE,SOLO,21262532.0,SAGA KevinC,245.0,JUNGLE,NONE,53373482.0,An Nuo l
2077290615,,41.0,MIDDLE,SOLO,21498922.0,TR Linsanity,78.0,TOP,SOLO,67019274.0,Miyu Loves You,203.0,BOTTOM,DUO_CARRY,30936371.0,Jayms,76.0,JUNGLE,NONE,25317334.0,rejoovenation,61.0,MIDDLE,SOLO,21133544.0,Jeem,267.0,BOTTOM,DUO_SUPPORT,50749225.0,SoreScar,40.0,BOTTOM,DUO_SUPPORT,37388071.0,eMthy,68.0,TOP,SOLO,30365948.0,Jos,60.0,JUNGLE,NONE,30319179.0,ALL CAPS LEGEND,236.0,BOTTOM,DUO_CARRY,19806051.0,TR Strife
2077231580,,78.0,BOTTOM,DUO_SUPPORT,32004867.0,Alexandtheo,67.0,BOTTOM,DUO_CARRY,26712726.0,A Korean Girl,133.0,TOP,SOLO,36579620.0,KillerHeedonge,57.0,MIDDLE,SOLO,10077.0,scarra,64.0,JUNGLE,NONE,21262532.0,SAGA KevinC,12.0,BOTTOM,DUO_SUPPORT,34807542.0,Gifting,238.0,TOP,SOLO,37832463.0,Eitori,114.0,MIDDLE,SOLO,21498922.0,TR Linsanity,76.0,JUNGLE,NONE,390600.0,C9 Meteos,42.0,BOTTOM,DUO_CARRY,19806051.0,TR Strife
2077167467,,36.0,TOP,SOLO,53373482.0,An Nuo l,236.0,BOTTOM,DUO_CARRY,26712726.0,A Korean Girl,223.0,TOP,SOLO,21947923.0,I Shadow l,105.0,MIDDLE,SOLO,10077.0,scarra,40.0,BOTTOM,DUO_SUPPORT,24907087.0,chakhae,64.0,JUNGLE,NONE,21567033.0,Edgeism,4.0,MIDDLE,SOLO,21498922.0,TR Linsanity,12.0,BOTTOM,DUO_SUPPORT,20640052.0,XPsionicsx,81.0,BOTTOM,DUO_CARRY,19806051.0,TR Strife,203.0,JUNGLE,NONE,65399098.0,C9 Rush
2077131617,,421.0,JUNGLE,NONE,37910602.0,twi tv trixondog,25.0,BOTTOM,DUO_SUPPORT,24560785.0,ALLAHU AKBAAAARD,112.0,MIDDLE,SOLO,22963297.0,stfedsufenuf,85.0,TOP,SOLO,27519370.0,Bobjenkins,236.0,BOTTOM,DUO_CARRY,19806051.0,TR Strife,104.0,JUNGLE,NONE,21498922.0,TR Linsanity,201.0,BOTTOM,DUO_SUPPORT,24907087.0,chakhae,127.0,TOP,SOLO,19770082.0,Cris,81.0,BOTTOM,DUO_CARRY,42981270.0,DreamTime,103.0,MIDDLE,SOLO,43230548.0,Gagdo
2076957945,,63.0,TOP,SOLO,24560785.0,ALLAHU AKBAAAARD,429.0,BOTTOM,DUO_CARRY,66541554.0,Unknown JungIer,4.0,MIDDLE,SOLO,25005620.0,R I P Mcbaze,412.0,BOTTOM,DUO_SUPPORT,19806051.0,TR Strife,78.0,JUNGLE,NONE,21498922.0,TR Linsanity,27.0,TOP,SOLO,19470447.0,Minishcap1,103.0,MIDDLE,SOLO,42981270.0,DreamTime,53.0,BOTTOM,DUO_SUPPORT,20962682.0,Sheep6,203.0,JUNGLE,NONE,26082266.0,Zary,51.0,BOTTOM,DUO_CARRY,43230548.0,Gagdo
2076890424,,12.0,JUNGLE,NONE,22033467.0,VoiDBosS,238.0,MIDDLE,SOLO,40835255.0,Stebb,51.0,BOTTOM,SOLO,32878327.0,Emily Supports U,133.0,TOP,SOLO,20387972.0,grnlefboy,40.0,JUNGLE,NONE,22928703.0,TheLastAirbender,60.0,JUNGLE,NONE,33987970.0,ChickenNugget,421.0,JUNGLE,NONE,69892366.0,BestGravesCnMA,42.0,BOTTOM,SOLO,21498922.0,TR Linsanity,68.0,TOP,SOLO,37481045.0,InsanityXXX,91.0,MIDDLE,SOLO,26190939.0,Neiloo
2076484282,,81.0,BOTTOM,DUO_CARRY,19243208.0,chuck normis,99.0,MIDDLE,SOLO,30622607.0,DCMA Facker,223.0,TOP,SOLO,23132551.0,Trick2s Hairline,48.0,BOTTOM,DUO_SUPPORT,25192823.0,Hoan,236.0,BOTTOM,DUO_CARRY,64842906.0,Mogric,60.0,JUNGLE,NONE,23568562.0,HvK LiquidDiego,4.0,MIDDLE,SOLO,21498922.0,TR Linsanity,154.0,JUNGLE,NONE,39525309.0,WoIff,12.0,BOTTOM,DUO_SUPPORT,28641263.0,O N,114.0,TOP,SOLO,41002628.0,Dibrickishaw
2076427121,,68.0,TOP,SOLO,26676087.0,Xiao Yuu,18.0,BOTTOM,DUO_CARRY,21498922.0,TR Linsanity,76.0,JUNGLE,NONE,28978271.0,deps,114.0,TOP,SOLO,29647265.0,Nexevis,34.0,MIDDLE,SOLO,31687588.0,Freeze,12.0,BOTTOM,DUO_SUPPORT,42764529.0,Hotrodtough,64.0,JUNGLE,NONE,54888638.0,Dir Yuny,63.0,MIDDLE,SOLO,59884386.0,QQ1035716423q,42.0,BOTTOM,DUO_CARRY,40835255.0,Stebb,1.0,BOTTOM,DUO_SUPPORT,20963430.0,5 2 0 1 3 
2076412899,,117.0,TOP,SOLO,20112175.0,Rohammers,127.0,MIDDLE,SOLO,37737799.0,The Tilted Meme,119.0,BOTTOM,DUO_CARRY,66803988.0,Geraniho,104.0,TOP,SOLO,24662712.0,Doctapimpin,12.0,BOTTOM,DUO_SUPPORT,71715.0,MeNoHaxor,56.0,JUNGLE,NONE,25850956.0,Nightblue3,236.0,BOTTOM,DUO_CARRY,20074883.0,Batmun,60.0,JUNGLE,NONE,21241388.0,XIV XtremeX,53.0,BOTTOM,DUO_SUPPORT,21125652.0,KRN Shockader,7.0,MIDDLE,SOLO,21498922.0,TR Linsanity
2076371621,,57.0,TOP,SOLO,23258384.0,TheBadW0lf,48.0,BOTTOM,DUO_SUPPORT,28641263.0,O N,98.0,TOP,SOLO,26123163.0,Extremely Stupid,119.0,BOTTOM,DUO_CARRY,66803988.0,Geraniho,4.0,MIDDLE,SOLO,21498922.0,TR Linsanity,104.0,JUNGLE,NONE,23162549.0,Guonade,12.0,BOTTOM,DUO_SUPPORT,21241388.0,XIV XtremeX,11.0,JUNGLE,NONE,25850956.0,Nightblue3,110.0,BOTTOM,DUO_CARRY,32311174.0,MikeHct,117.0,MIDDLE,SOLO,71715.0,MeNoHaxor
